City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Margate,51.3813,1.3862,44.96,66,54,14.0,GB,1644187399
Tautira,-17.7333,-149.15,84.22,74,75,19.86,PF,1644187399
Artsyz,45.9919,29.4182,36.95,65,53,11.18,UA,1644187614
Nerchinskiy Zavod,51.3088,119.61,-19.17,100,95,2.42,RU,1644187615
Juneau,58.3019,-134.4197,39.85,96,100,1.01,US,1644187525
Southbridge,42.0751,-72.0334,26.92,67,100,3.2,US,1644187474
Châtellerault,46.8,0.5333,52.52,33,100,20.15,FR,1644187615
Jumla,29.2747,82.1838,34.48,54,95,4.88,NP,1644187238
Puerto Ayora,-0.7393,-90.3518,85.96,88,38,7.0,EC,1644187676
Port-Gentil,-0.7193,8.7815,79.9,83,18,11.32,GA,1644187676
Garoowe,8.4054,48.4845,67.15,70,100,9.73,SO,1644187676
Mana,5.6592,-53.7767,78.03,84,99,8.93,GF,1644187677
Rodrigues Alves,-7.738,-72.6509,80.8,95,96,2.71,BR,1644187677
Palimé,6.9,0.6333,77.13,66,29,2.66,TG,1644187678
Marystown,47.1666,-55.1483,19.85,100,92,13.04,CA,1644187388
Hong Kong,22.2855,114.1577,61.25,85,100,1.01,HK,1644186985
Saskylakh,71.9167,114.0833,-23.15,100,96,2.48,RU,1644187338
Cheney,47.4874,-117.5758,46.67,82,75,3.44,US,1644187664
Nantai,40.9241,122.8044,9.79,92,8,3.49,CN,1644187678
Bartica,6.4,-58.6167,79.12,98,90,2.93,GY,1644187236
Port Hardy,50.6996,-127.4199,48.76,76,100,17.27,CA,1644187679
Qaqortoq,60.7167,-46.0333,7.3,71,100,5.82,GL,1644187679
Ishigaki,24.3448,124.1572,64.53,72,75,12.66,JP,1644187680
Hasaki,35.7333,140.8333,27.0,43,3,13.29,JP,1644187378
Flin Flon,54.7682,-101.865,-0.56,65,100,8.05,CA,1644187523
Matara,5.9485,80.5353,74.43,87,93,4.25,LK,1644187680
Norman Wells,65.282,-126.8329,-12.96,64,75,19.57,CA,1644187233
Itaberaí,-16.0203,-49.8103,70.0,93,78,3.94,BR,1644187681
Talcahuano,-36.7167,-73.1167,74.88,53,0,11.5,CL,1644187681
Barcelos,41.5388,-8.6151,51.85,67,48,5.44,PT,1644187681
East London,-33.0153,27.9116,72.81,84,39,15.93,ZA,1644187436
Mariental,-24.6333,17.9667,75.58,53,99,17.96,NA,1644187682
San Joaquin,37.9333,-121.3011,70.16,40,0,0.0,US,1644187682
Cayenne,4.9333,-52.3333,80.1,87,75,3.0,GF,1644187683
Santa Cruz de la Sierra,-17.8,-63.1667,86.05,51,75,13.8,BO,1644187083
Bambous Virieux,-20.3428,57.7575,79.05,89,40,9.22,MU,1644187287
Alofi,-19.0595,-169.9187,82.29,83,100,8.05,NU,1644187683
Ho Chi Minh City,10.75,106.6667,77.02,78,20,3.44,VN,1644187674
Te Anau,-45.4167,167.7167,58.53,55,38,2.06,NZ,1644187684
Sarkand,45.41,79.9186,22.69,63,77,7.63,KZ,1644187684
Hofn,64.2539,-15.2082,27.36,62,61,7.76,IS,1644187498
Kavieng,-2.5744,150.7967,83.01,73,50,2.95,PG,1644187609
Zaysan,47.4667,84.8667,11.19,66,3,6.4,KZ,1644187685
Mackay,-21.15,149.2,79.68,69,40,14.97,AU,1644187685
Saint Paul Harbor,57.79,-152.4072,36.91,60,0,13.8,US,1644187363
Kalat,29.0225,66.5916,39.9,60,50,2.24,PK,1644187464
Ilulissat,69.2167,-51.1,1.42,71,100,8.05,GL,1644187367
St. Pete Beach,27.7253,-82.7412,63.19,84,100,3.0,US,1644187686
Arman',59.7,150.1667,2.01,72,68,10.13,RU,1644187642
Hidalgo,20.5,-99.0,69.35,34,6,9.82,MX,1644187686
Mihai Bravu,44.1406,26.0628,40.82,51,41,5.03,RO,1644187687
Qasigiannguit,68.8193,-51.1922,1.65,98,100,4.79,GL,1644187687
Kalmunai,7.4167,81.8167,74.82,82,95,8.25,LK,1644187231
Upernavik,72.7868,-56.1549,-15.5,99,100,9.75,GL,1644187200
Shōranūr,10.7667,76.2833,74.91,94,33,1.92,IN,1644187687
Sitka,57.0531,-135.33,44.49,76,100,13.8,US,1644187525
Antofagasta,-23.65,-70.4,69.08,74,2,4.43,CL,1644187688
Yumen,40.2833,97.2,11.5,84,53,11.74,CN,1644187211
Kuril'sk,45.2333,147.8833,26.17,78,90,6.44,RU,1644187748
Gweta,-20.1833,25.2333,73.24,52,58,10.22,BW,1644187749
Saldanha,-33.0117,17.9442,66.25,97,21,10.18,ZA,1644187672
Plouzané,48.3833,-4.6167,53.69,93,100,17.27,FR,1644187749
Jacqueville,5.2052,-4.4146,80.51,84,70,11.41,CI,1644187750
Bethel,41.3712,-73.414,28.04,68,81,3.83,US,1644187364
Baijiantan,45.6333,85.1833,2.5,85,3,1.7,CN,1644187750
Fes,34.0372,-4.9998,55.65,66,0,6.91,MA,1644187751
Zakan-Yurt,43.2597,45.4206,33.94,96,100,4.12,RU,1644187751
Trofors,65.5333,13.4063,31.35,96,79,3.74,NO,1644187751
Ucluelet,48.9329,-125.5528,48.09,88,84,3.0,CA,1644187403
Souillac,-20.5167,57.5167,79.18,89,40,9.22,MU,1644187604
Saint-Pierre,-21.3393,55.4781,78.44,78,0,6.91,RE,1644187752
Laguna,38.421,-121.4238,71.13,46,0,3.0,US,1644187396
Sydney,-33.8679,151.2073,71.71,78,75,5.01,AU,1644187707
Kruisfontein,-34.0033,24.7314,70.88,60,100,4.47,ZA,1644187752
Khani,41.9563,42.9566,24.37,98,100,0.96,GE,1644187661
Olafsvik,64.8945,-23.7142,28.87,71,100,24.25,IS,1644187371
Jasdan,22.0333,71.2,62.04,72,4,8.01,IN,1644187753
Grand Gaube,-20.0064,57.6608,79.2,82,88,5.99,MU,1644187468
Port Lincoln,-34.7333,135.8667,75.96,53,0,16.02,AU,1644187484
Quatre Cocos,-20.2078,57.7625,78.91,84,93,8.57,MU,1644187754
Mayo,38.8876,-76.5119,36.12,44,0,0.0,US,1644187309
Sattahip,12.6664,100.9007,76.91,94,20,4.61,TH,1644187754
Severo-Kuril'sk,50.6789,156.125,30.18,87,100,10.96,RU,1644187266
Melville,40.7934,-73.4151,30.06,70,0,1.01,US,1644187524
Ternate,0.8,127.4,80.47,79,100,7.4,ID,1644187755
Mahanoro,-19.9,48.8,75.87,88,100,4.99,MG,1644187755
Piteå,65.3172,21.4794,30.29,96,100,6.78,SE,1644187755
Mopipi,-21.1833,24.8833,72.16,59,25,9.08,BW,1644187756
Ponta do Sol,32.6667,-17.1,63.23,71,11,10.85,PT,1644187280
Qui Nhon,13.7667,109.2333,69.94,89,90,5.82,VN,1644187560
Longonjo,-12.9067,15.2533,63.5,62,100,2.17,AO,1644187756
Yeppoon,-23.1333,150.7333,74.98,64,7,14.09,AU,1644187738
Wausau,44.9591,-89.6301,28.02,86,100,7.0,US,1644187757
Guerrero Negro,27.9769,-114.0611,68.09,23,0,9.75,MX,1644187159
Fairbanks,64.8378,-147.7164,-2.4,78,100,0.0,US,1644187453
Kifrī,34.6959,44.9661,45.97,47,75,2.08,IQ,1644187757
Broome,42.2506,-75.833,27.37,73,0,3.0,US,1644187397
Codajás,-3.8367,-62.0569,74.79,98,100,1.39,BR,1644187758
Pimentel,-6.8367,-79.9342,77.29,57,0,18.41,PE,1644187758
Esperance,-33.8667,121.9,58.84,59,50,25.99,AU,1644187759
Burnie,-41.0667,145.9167,66.94,57,14,10.74,AU,1644187759
La Sarre,48.8002,-79.1996,17.65,96,100,4.94,CA,1644187609
Itarema,-2.9248,-39.9167,79.65,78,50,12.01,BR,1644187412
Makat,47.6469,53.3463,24.12,91,88,9.35,KZ,1644187760
Ilhéus,-14.7889,-39.0494,82.22,78,40,6.91,BR,1644187760
Kirkwood,38.5834,-90.4068,45.99,57,20,8.05,US,1644187760
Grindavik,63.8424,-22.4338,30.67,64,100,16.11,IS,1644187760
Bereda,43.2686,-7.5406,46.15,98,72,2.06,ES,1644187761
Bud,39.447,-86.1758,35.55,76,56,4.72,US,1644187821
Digras,20.1167,77.7167,64.87,27,43,2.26,IN,1644187822
Saint-Augustin,51.226,-58.6502,-20.63,88,3,5.17,CA,1644187822
Chapleau,47.8405,-83.4034,21.29,79,100,4.61,CA,1644187524
La Gomera,14.0833,-91.05,87.51,47,22,9.98,GT,1644187822
Imeni Poliny Osipenko,52.4201,136.4853,-1.93,99,100,0.72,RU,1644187823
Nabire,-3.3667,135.4833,78.67,86,100,2.13,ID,1644187823
Shache,38.4167,77.2406,25.12,61,91,4.68,CN,1644187823
Verkhnevilyuysk,63.4453,120.3167,-9.17,98,100,6.22,RU,1644187824
New Glasgow,45.5834,-62.6486,12.58,94,3,2.53,CA,1644187824
Nyurba,63.2842,118.3319,-4.31,98,100,6.33,RU,1644187809
Coyhaique,-45.5752,-72.0662,83.01,61,8,4.12,CL,1644187440
Codrington,-38.2667,141.9667,74.34,40,0,7.43,AU,1644187433
Zabul Province,32.25,67.25,33.24,54,0,9.42,AF,1644187825
Fare,-16.7,-151.0167,81.57,73,90,19.93,PF,1644187464
Graciano Sánchez,23.9167,-99.2833,67.15,37,66,5.23,MX,1644187826
Hwange,-18.3693,26.5019,68.65,75,87,3.13,ZW,1644187826
Provideniya,64.3833,-173.3,1.51,66,0,4.47,RU,1644187583
Vila Franca do Campo,37.7167,-25.4333,62.2,85,78,12.73,PT,1644187744
Khovd,48.0056,91.6419,-14.4,70,13,3.87,MN,1644187826
Srednekolymsk,67.45,153.6833,-37.55,100,62,1.28,RU,1644187343
Beyneu,45.3167,55.2,29.01,78,39,7.67,KZ,1644187827
Province of Mantua,45.1667,10.7833,44.82,91,97,5.01,IT,1644187827
Oktyabr'skoye,43.0645,44.7417,28.54,100,99,4.47,RU,1644187828
Beringovskiy,63.05,179.3167,-15.52,96,36,5.86,RU,1644187346
Tsiroanomandidy,-18.7667,46.0333,67.03,91,98,9.64,MG,1644187828
Omboué,-1.5746,9.2618,77.74,87,14,6.26,GA,1644187828
Khuzdar,27.7384,66.6434,54.0,56,56,2.01,PK,1644187829
Killam,52.7834,-111.8518,42.39,65,24,9.22,CA,1644187829
Bellevue,47.6104,-122.2007,56.28,75,0,1.99,US,1644187829
Dalbandin,28.8947,64.4101,53.22,26,27,9.42,PK,1644187470
Karatuzskoye,53.6072,92.8667,-2.11,96,100,1.57,RU,1644187830
Caravelas,-17.7125,-39.2481,77.67,83,6,6.93,BR,1644187292
Hirara,24.8,125.2833,62.46,72,75,8.05,JP,1644187830
Batticaloa,7.7102,81.6924,75.87,81,92,8.1,LK,1644187831
Lavrentiya,65.5833,-171.0,-10.8,92,16,6.26,RU,1644187657
Mayya,61.7333,130.2811,-34.69,100,100,2.42,RU,1644187831
Jacmel,18.2342,-72.5347,82.24,71,35,3.6,HT,1644187831
Sherbakul',54.6316,72.3963,2.88,88,26,7.99,RU,1644187832
Mabaruma,8.2,-59.7833,73.13,98,95,4.25,GY,1644187643
Mbalmayo,3.5167,11.5,66.52,41,29,2.44,CM,1644187832
Pascagoula,30.3658,-88.5561,59.02,38,0,3.44,US,1644187832
Chaiyaphum,15.75,102.0,75.06,63,77,2.42,TH,1644187833
Kuusamo,65.9667,29.1833,21.24,86,75,12.66,FI,1644187833
Saint-François,46.4154,3.9054,47.41,92,100,12.66,FR,1644187834
Corner Brook,48.9667,-57.9484,12.33,84,100,7.11,CA,1644187834
Dakar,14.6937,-17.4441,70.68,79,0,15.84,SN,1644187834
Clyde River,70.4692,-68.5914,-30.77,68,0,6.91,CA,1644187770
Yangi Marg`ilon,40.4272,71.7189,39.92,81,75,2.3,UZ,1644187678
Feicheng,35.2606,117.9675,31.35,41,100,3.58,CN,1644187835
Sibolga,1.7427,98.7792,74.75,87,96,3.33,ID,1644187895
Motomachi,43.8228,144.1044,26.67,90,97,4.72,JP,1644187896
Kuching,1.55,110.3333,75.42,100,40,3.44,MY,1644187896
Dover,39.1582,-75.5244,35.69,74,75,1.01,US,1644187896
Peniche,39.3558,-9.3811,55.09,73,32,13.22,PT,1644187603
Saint Paul,44.9444,-93.0933,17.71,65,100,19.57,US,1644187815
Lorengau,-2.0226,147.2712,82.51,80,100,8.03,PG,1644187882
Poum,-20.2333,164.0167,81.86,80,97,14.12,NC,1644187482
Griffith,41.5284,-87.4237,34.03,73,0,4.0,US,1644187322
Shonguy,68.7526,33.146,5.07,92,75,6.71,RU,1644187897
Kalmar,56.6616,16.3616,33.96,93,100,8.05,SE,1644187898
Marakkanam,12.2,79.95,74.57,76,99,7.02,IN,1644187898
La Orilla,17.9833,-102.2333,82.92,50,8,10.56,MX,1644187899
Kikwit,-5.041,18.8162,72.09,92,100,2.15,CD,1644187899
Vardø,70.3705,31.1107,21.4,81,78,19.82,NO,1644187794
Dezhou,37.4486,116.2925,29.1,45,100,3.56,CN,1644187899
Perth,-31.9333,115.8333,68.67,59,20,13.8,AU,1644187900
Yarim,14.298,44.3779,51.51,55,96,2.08,YE,1644187481
Tieli,46.95,128.05,-12.1,100,100,3.6,CN,1644187900
Yingchuan,34.1628,113.4639,32.27,51,100,2.39,CN,1644187901
Meulaboh,4.1363,96.1285,74.41,92,100,4.83,ID,1644187901
Oistins,13.0667,-59.5333,78.89,73,75,16.11,BB,1644187901
Ionia,42.9873,-85.0711,33.49,68,75,5.75,US,1644187902
Manturovo,58.3353,44.7619,-5.64,100,100,2.95,RU,1644187902
Osa,57.2829,55.4567,16.5,91,100,5.66,RU,1644187903
Sabha,27.0377,14.4283,57.81,20,67,9.62,LY,1644187903
Nadym,65.5333,72.5167,-19.01,100,78,7.18,RU,1644187903
